day,hour,SENS0008,SENS0010,SENS0012,SENS0017,SENS0018,SENS0019,SENS0020,SENS0021,SENS0022,SENS0023,SENS0027,SENS0028,SENS0030
2022-11-16,7,10.50548884,38.00181157,18.18626575,14.08660534,12.83800827,14.71382382,7.984288034,11.89590831,15.92468178,17.32449465,16.50663164,20.86447641,12.95379874
2022-11-16,8,10.43228901,37.9860252,18.5626507,14.09789621,12.81920096,14.76894137,7.96353099,11.89154237,15.84744257,17.31781297,16.49388857,20.82777619,12.95469683
2022-11-16,9,10.42539818,37.91510756,18.41590569,14.0894252,12.78162268,14.7020513,7.917435222,11.88542675,15.80435755,17.30107555,16.49385666,20.76675606,12.94570318
2022-11-16,10,10.40989301,37.89146836,18.39494389,14.07249602,12.77089197,14.68753889,7.872155066,11.87582169,15.76131554,17.30445544,16.45555448,20.73023493,12.94570417
2022-11-16,11,10.56232501,37.82856479,18.63118142,14.04994699,12.74140745,14.69627876,7.882994928,11.86010603,15.71841276,17.28436616,16.42370567,20.66957621,12.93761256
2022-11-16,12,10.43055559,37.76576183,18.72511249,14.03305181,12.71730315,14.64114184,7.814086628,11.86796276,15.69698264,17.26432357,16.39509123,20.63322123,12.93671545
2022-11-16,13,10.43831734,37.70307273,18.75059141,14.02460352,12.68251847,14.62663628,7.799542021,11.84352272,15.66947722,17.26766696,16.39826459,20.54073424,12.92952389
2022-11-16,14,10.40472636,37.6561295,18.74687616,14.00210651,12.66112983,14.57173325,7.792276894,11.84439587,15.65727476,17.24208925,16.38872646,20.52065173,12.92413243
2022-11-16,15,10.34011401,37.60144035,18.77958144,14.00772658,12.64242645,14.59774712,7.744969186,11.83392514,15.63288708,17.24098828,16.36017272,20.48863962,12.91874293
2022-11-16,16,10.41850793,37.57021611,18.80146201,13.99367223,12.62106474,14.56978963,7.755891463,11.80514098,15.61459634,17.23099357,16.3569904,20.43402464,12.90796779
2022-11-16,17,10.40214526,37.47414809,19.00657948,13.9768148,12.60238629,14.56322565,7.77044461,11.80252582,15.57506555,17.21101931,16.33165701,20.39286,12.90258023
2022-11-16,18,10.35303963,37.47672347,18.97721262,13.97400477,12.56772094,14.50544786,7.718542252,11.79729445,15.55178049,17.20103471,16.32849255,20.38887755,12.90258023
2022-11-16,19,10.31945752,37.39899605,18.91473599,13.9796276,12.5623911,14.4508415,7.732185811,11.78421812,15.49926063,17.19771154,16.30634587,20.32268151,12.89719267
2022-11-16,20,10.34011585,37.36795164,18.84159317,13.96277572,12.53042948,14.45946434,7.718543372,11.76330353,15.48111727,17.19438334,16.28738584,20.30155648,12.8837339
2022-11-16,21,10.31427507,37.3446866,18.80520755,13.96839438,12.50470334,14.44223434,7.693923031,11.77376006,15.45091313,17.18442388,16.30317698,20.2699214,12.86489622
2022-11-16,22,10.24967133,37.33951806,18.81236468,13.9515522,12.47988425,14.4308296,7.734036403,11.76591664,15.42677989,17.17113372,16.26844132,20.2804406,12.86220676
2022-11-16,23,10.28585314,37.32918985,18.77235793,13.95716534,12.46659351,14.3935333,7.839498435,11.76591664,15.42376659,17.16781306,16.24637214,20.27783359,12.83979998
2022-11-17,0,10.21864743,37.34985513,18.75783288,13.97400753,12.4426859,14.41356244,7.977079907,11.76591715,15.45996646,17.16118426,16.23061632,20.35310451,12.84069678
2022-11-17,1,10.16951309,37.40676214,18.79048115,13.98524351,12.42941173,14.39637762,8.149932395,11.76330405,15.52652921,17.16118177,16.21173131,20.41277916,12.80577996
2022-11-17,2,10.14106763,37.49228892,18.81236166,13.97962622,12.42144802,14.46807469,8.136452526,11.77637419,15.67254905,17.24099333,16.23379608,20.42475765,12.76553805
2022-11-17,3,10.08674736,37.5780155,18.85614087,13.98242932,12.40818084,14.54672555,8.098702794,11.78073141,15.7858826,17.25431622,16.15522045,20.54073075,12.72534539
2022-11-17,4,9.95730717,37.60144035,18.91474108,13.98523935,12.38430825,14.60927695,8.042030396,11.78683276,15.83716336,17.26100554,16.11139399,20.60501314,12.65579508
2022-11-17,5,9.895153977,37.59363429,18.89637346,13.97681341,12.37370432,14.63243519,7.980698939,11.80514256,15.84743429,17.26767456,16.11770914,20.68169102,12.58371631
2022-11-17,6,9.902916995,37.63267793,18.86104788,13.9740103,12.35515501,14.63821622,7.922831627,11.8225845,15.76439836,17.25100829,16.06140355,20.74513743,12.5410883
